TTB ID,Permit No.,Serial Number,Completed Date,Fanciful Name,Brand Name,Origin,Origin Desc,Class/Type,Class/Type Desc
'24045001000976',BW-WA-68,24CABS,02/15/2024,,QUILCEDA CREEK,07,WASHINGTON,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24045001000988',BW-WA-68,24PALE,02/15/2024,PALENGAT,QUILCEDA CREEK,07,WASHINGTON,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24045001000994',BW-WA-68,24TCHE,02/15/2024,TCHELISTCHEFF,QUILCEDA CREEK,07,WASHINGTON,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'26012001000650',BW-WA-67,260001,01/15/2026,,LEONETTI CELLAR,07,WASHINGTON,88,DESSERT /PORT/SHERRY/(COOKING) WINE
